Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-77.86070029399963 40.79373015200048),1980,Pennsylvania,11868305,67,23,6848,1570,5776,1072,4092,1684,539,352,180,1,4923,2864,990,374,3026,3448,0,0
POINT (-71.52247031399963 41.70828019300046),1980,Rhode Island,948773,5,2,696,36,606,90,336,270,43,32,15,0,502,244,102,174,133,389,0,0
POINT (-81.04537120699968 33.998821303000454),1980,South Carolina,3134502,46,12,2886,1506,2444,442,1762,682,358,81,3,0,2034,1264,546,439,60,2387,0,0
POINT (-100.3735306369997 44.353130053000484),1980,South Dakota,690851,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-85.77449091399967 35.68094058000048),1980,Tennessee,4600252,95,8,2671,257,2319,352,1559,760,230,102,20,0,1685,856,338,561,267,1843,0,0
POINT (-99.42677020599967 31.827240407000488),1980,Texas,14338208,254,16,4556,1300,3977,579,2960,1017,318,162,99,0,3100,1691,680,285,965,3306,0,0
POINT (-111.58713063499971 39.360700171000474),1980,Utah,1472595,29,6,1954,242,1768,186,1162,606,156,23,7,0,1010,478,261,258,1136,560,0,0
POINT (-72.51764079099962 43.62538123900049),1980,Vermont,512524,14,2,711,21,678,33,598,80,23,9,1,0,367,134,56,244,0,467,0,0
POINT (-78.45789046299967 37.54268067400045),1980,Virginia,5368334,134,18,4759,1829,4196,563,3032,1164,409,137,17,0,3200,1854,866,951,1031,2777,0,0
POINT (-120.47001078999972 47.52227862900048),1980,Washington,4154678,39,6,1879,317,1724,155,1030,694,118,31,6,0,877,473,273,1413,33,433,0,0
POINT (-80.71264013499967 38.66551020200046),1980,West Virginia,1951349,55,3,784,314,756,28,636,120,27,1,0,0,392,228,130,149,185,450,0,0
