Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-74.27369128799967 40.13057004800049),1991,New Jersey,7814676,21,16,5475,365,4745,730,3600,1145,385,249,96,0,3189,1842,634,1106,1140,3085,21,123
POINT (-106.24058098499967 34.52088095200048),1991,New Mexico,1555305,33,15,3382,2093,3353,29,2704,649,29,0,0,0,1111,670,388,531,453,1549,2,847
POINT (-75.54397042699964 42.82700103200045),1991,New York,18122510,62,34,9196,3214,8518,678,7034,1484,421,214,43,0,5208,2563,1097,786,1027,6742,0,641
POINT (-79.15925046299964 35.466220975000454),1991,North Carolina,6784280,100,24,5141,3619,4873,268,3629,1244,237,30,1,0,2868,1662,874,1032,155,3443,0,511
POINT (-100.11842104899966 47.47531977900047),1991,North Dakota,635753,53,9,1427,1858,1427,0,1364,63,0,0,0,0,558,335,200,140,256,683,0,348
POINT (-82.40426005599966 40.06021014100048),1991,Ohio,10945762,88,46,10295,6495,9019,1276,6976,2043,857,384,35,0,7111,4345,1756,657,914,6290,0,2434
POINT (-97.52107021399968 35.47203135600046),1991,Oklahoma,3175440,77,10,1985,1665,1891,94,1551,340,79,14,1,0,992,570,296,69,490,1102,0,324
POINT (-120.15503132599969 44.56744942400047),1991,Oregon,2928507,36,14,3104,2006,3064,40,2235,829,38,2,0,0,1605,923,510,1333,36,520,40,1175
POINT (-77.86070029399963 40.79373015200048),1991,Pennsylvania,11982164,67,29,10096,489,8976,1120,7096,1880,762,314,44,0,5471,2934,1131,614,3177,6067,0,238
POINT (-71.52247031399963 41.70828019300046),1991,Rhode Island,1010649,5,2,568,162,527,41,422,105,19,15,7,0,420,208,84,48,237,271,0,12
POINT (-81.04537120699968 33.998821303000454),1991,South Carolina,3570404,46,21,5796,1869,5651,145,4688,963,135,10,0,0,2759,1387,746,40,240,5089,0,427
POINT (-100.3735306369997 44.353130053000484),1991,South Dakota,703669,66,4,723,737,721,2,684,37,2,0,0,0,286,181,99,0,0,332,11,380
POINT (-85.77449091399967 35.68094058000048),1991,Tennessee,4966587,95,22,5514,2516,5168,346,3938,1230,312,32,2,0,2765,1671,822,320,1056,3639,34,465
POINT (-99.42677020599967 31.827240407000488),1991,Texas,17398005,254,29,6700,3885,6296,404,5218,1078,283,88,33,0,3978,1915,943,172,736,4925,118,749
POINT (-111.58713063499971 39.360700171000474),1991,Utah,1779780,29,8,1933,987,1850,83,1336,514,80,3,0,0,862,478,260,432,0,834,253,414
POINT (-72.51764079099962 43.62538123900049),1991,Vermont,568606,14,5,1050,775,1017,33,929,88,25,8,0,0,522,260,136,101,424,362,21,142
POINT (-78.45789046299967 37.54268067400045),1991,Virginia,6301217,134,41,7968,6997,7338,630,5563,1775,505,115,10,0,4909,2956,1426,406,1741,4453,33,1335
POINT (-120.47001078999972 47.52227862900048),1991,Washington,5025624,39,16,3494,2346,3436,58,2531,905,44,11,0,3,3782,892,515,1460,0,945,14,1075
POINT (-80.71264013499967 38.66551020200046),1991,West Virginia,1798735,55,10,3119,531,2924,195,2328,596,154,38,3,0,1663,796,351,228,395,2049,17,430
POINT (-89.81637074199966 44.39319117400049),1991,Wisconsin,4964343,72,27,6124,3731,5621,503,4749,872,339,130,34,0,4554,2349,975,592,358,4951,0,223
POINT (-108.10983035299967 43.23554134300048),1991,Wyoming,459260,23,10,1803,1847,1798,5,1491,307,5,0,0,0,818,501,287,0,0,926,19,858
POINT (-86.63186076199969 32.84057112200048),1992,Alabama,4154014,67,24,3393,5391,3278,115,2754,524,94,21,0,0,2164,1239,668,111,144,2060,70,1008
POINT (-147.72205903599973 64.84507995700051),1992,Alaska,588736,30,5,1697,133,1671,26,1403,268,20,2,0,4,1174,266,137,311,0,350,4,1032
POINT (-111.76381127699972 34.865970280000454),1992,Arizona,3915740,15,12,2009,2383,1902,107,1301,601,91,15,1,0,1129,695,428,188,122,1157,169,373
POINT (-92.27449074299966 34.74865012400045),1992,Arkansas,2415984,75,21,2829,4857,2806,23,2596,210,20,3,0,0,1540,836,469,123,307,1424,83,892
POINT (-120.99999953799971 37.63864012300047),1992,California,30974659,58,51,17294,1372,14601,2693,10864,3737,1598,730,362,3,9272,5297,2490,802,3260,12507,80,645
POINT (-106.13361092099967 38.843840757000464),1992,Colorado,3495939,64,28,7179,3069,7105,74,5590,1515,67,6,1,0,2428,1440,857,555,897,2333,210,3184
POINT (-72.64984095199964 41.56266102000046),1992,Connecticut,3300712,8,8,2087,841,1951,136,1603,348,87,42,7,0,1418,623,281,286,343,1216,0,242
POINT (-75.57774116799965 39.008830667000495),1992,Delaware,694925,3,3,779,319,737,42,619,118,29,12,1,0,509,231,112,50,66,636,0,27
POINT (-77.036871 38.907192),1992,District Of Columbia,597565,1,1,366,0,344,22,186,158,21,1,0,0,159,90,49,16,204,68,77,1
POINT (-81.92896053899966 28.932040377000476),1992,Florida,13650553,67,22,6383,1669,6168,215,5204,964,194,21,0,0,2878,1421,740,410,518,5303,22,130
POINT (-83.62758034599966 32.83968109300048),1992,Georgia,6817203,159,16,3580,2276,3372,208,2650,722,165,40,3,0,2301,1155,575,50,352,2876,96,206
POINT (-157.85774940299973 21.304850435000446),1992,Hawaii,1158613,5,4,1111,353,1110,1,1097,13,1,0,0,0,270,124,87,131,5,833,58,84
POINT (-114.3637300419997 43.682630005000476),1992,Idaho,1071685,44,13,1303,3455,1298,5,1039,259,2,1,0,2,1669,652,389,326,0,84,44,849
POINT (-88.99771017799969 40.48501028300046),1992,Illinois,11694184,102,25,7105,2045,6890,215,5918,972,185,25,5,0,3712,1491,838,435,376,5446,0,848
POINT (-86.14996019399968 39.766910452000445),1992,Indiana,5674547,92,25,5777,3373,5555,222,4727,828,176,42,4,0,3395,1565,790,372,1330,3069,0,1006
POINT (-93.81649055599968 42.46940091300047),1992,Iowa,2818401,99,9,1745,1549,1702,43,1509,193,38,5,0,0,970,484,251,171,0,985,0,589
POINT (-98.20078122699965 38.34774030000045),1992,Kansas,2532394,105,9,1428,1866,1420,8,1254,166,7,1,0,0,758,421,271,133,13,880,0,402
POINT (-84.77497104799966 37.645970271000465),1992,Kentucky,3765469,120,33,7827,4251,7663,164,6343,1320,156,8,0,0,3954,1976,1156,506,1486,5043,79,713
POINT (-92.44568007099969 31.31266064400046),1992,Louisiana,4293003,64,21,7179,507,6940,239,5956,984,204,31,4,0,3347,1349,713,50,989,6027,0,113
POINT (-68.98503133599962 45.254228894000505),1992,Maine,1238508,16,12,3028,1364,2908,120,2672,236,79,35,6,0,1924,691,358,0,101,2097,23,807
POINT (-76.60926011099963 39.29058096400047),1992,Maryland,4923368,24,15,3312,2178,3039,273,2420,619,200,71,2,0,2077,1150,516,452,425,2070,0,365
POINT (-72.08269067499964 42.27687047000046),1992,Massachusetts,6028709,14,11,3237,789,3042,195,2517,525,130,57,8,0,2083,888,430,248,1135,1784,0,70
POINT (-84.71439026999968 44.6613195430005),1992,Michigan,9479065,83,31,6629,4717,6396,233,5747,649,181,48,3,1,4499,1837,881,915,874,3858,0,982
POINT (-94.79420050299967 46.35564873600049),1992,Minnesota,4495572,87,13,3437,1321,3411,26,3223,188,23,3,0,0,1220,540,327,1015,749,1210,131,332
POINT (-89.53803082499968 32.745510099000455),1992,Mississippi,2623734,82,14,3214,1910,3129,85,2654,475,79,6,0,0,1601,841,482,64,0,2941,0,209
POINT (-92.56630005299968 38.635790776000476),1992,Missouri,5217101,115,13,3594,1164,3464,130,2866,598,103,26,1,0,1803,802,417,188,931,1890,0,585
POINT (-109.42442064499971 47.06652897200047),1992,Montana,825770,56,22,4346,3706,4333,13,3838,495,10,3,0,0,2025,939,468,786,130,184,11,3235
POINT (-99.36572062299967 41.6410409880005),1992,Nebraska,1611687,93,8,1203,1725,1200,3,1066,134,3,0,0,0,616,377,203,301,0,337,0,565
POINT (-117.07184056399967 39.493240390000494),1992,Nevada,1351367,17,7,1367,1195,1313,54,870,443,52,2,0,0,605,376,227,106,200,711,154,196
POINT (-71.50036091999965 43.65595011300047),1992,New Hampshire,1117784,10,8,2086,842,2023,63,1862,161,49,13,1,0,1177,418,242,106,246,1369,0,365
POINT (-74.27369128799967 40.13057004800049),1992,New Jersey,7880508,21,17,5513,709,5153,360,4060,1093,253,90,17,0,3016,1325,603,1049,1302,2976,50,136
POINT (-106.24058098499967 34.52088095200048),1992,New Mexico,1595442,33,15,3394,2096,3368,26,2841,527,26,0,0,0,1112,637,386,476,621,1521,0,776
POINT (-75.54397042699964 42.82700103200045),1992,New York,18246653,62,34,9515,2929,9246,269,8154,1092,190,74,5,0,4931,1792,1024,996,786,7097,0,636
POINT (-79.15925046299964 35.466220975000454),1992,North Carolina,6897214,100,38,6967,6941,6675,292,5320,1355,257,33,2,0,4062,2300,1245,1328,229,4766,0,644
POINT (-100.11842104899966 47.47531977900047),1992,North Dakota,638223,53,9,1470,1824,1467,3,1415,52,3,0,0,0,613,311,178,143,276,680,0,371
POINT (-82.40426005599966 40.06021014100048),1992,Ohio,11029431,88,47,10734,6468,10248,486,8496,1752,387,96,3,0,6222,3100,1569,730,978,6385,0,2641
POINT (-97.52107021399968 35.47203135600046),1992,Oklahoma,3220517,77,10,2261,1399,2223,38,1951,272,36,2,0,0,892,491,279,203,648,1112,0,298
POINT (-120.15503132599969 44.56744942400047),1992,Oregon,2991755,36,14,3032,2092,2988,44,2278,710,38,6,0,0,1472,857,512,1161,29,560,38,1244
POINT (-77.86070029399963 40.79373015200048),1992,Pennsylvania,12049450,67,29,10092,522,9679,413,8245,1434,333,77,3,0,4707,1921,1016,567,3442,5769,0,314
POINT (-71.52247031399963 41.70828019300046),1992,Rhode Island,1012581,5,2,580,152,552,28,480,72,22,6,0,0,374,148,75,66,206,300,0,8
POINT (-81.04537120699968 33.998821303000454),1992,South Carolina,3620464,46,21,6541,1145,6354,187,5351,1003,171,15,1,0,2910,1363,726,36,328,5182,0,995
POINT (-100.3735306369997 44.353130053000484),1992,South Dakota,712801,66,4,687,777,685,2,622,63,2,0,0,0,290,181,99,0,0,154,60,473
POINT (-85.77449091399967 35.68094058000048),1992,Tennessee,5049742,95,22,5354,2698,5140,214,4143,997,177,36,1,0,2841,1495,798,370,978,3555,46,405
POINT (-99.42677020599967 31.827240407000488),1992,Texas,17759738,254,29,6666,3948,6297,369,5203,1094,272,75,22,0,3917,1854,943,215,717,4986,49,699
POINT (-111.58713063499971 39.360700171000474),1992,Utah,1836799,29,8,1957,971,1903,54,1276,627,53,1,0,0,765,487,303,245,462,800,142,308
POINT (-72.51764079099962 43.62538123900049),1992,Vermont,572751,14,5,1084,746,1064,20,992,72,15,5,0,0,492,230,130,131,379,373,55,146
POINT (-78.45789046299967 37.54268067400045),1992,Virginia,6414307,134,43,7840,7898,7508,332,5942,1566,284,45,3,0,4705,2604,1358,396,1747,4466,37,1194
POINT (-120.47001078999972 47.52227862900048),1992,Washington,5160757,39,19,3707,3247,3661,46,2812,849,37,7,0,2,2616,973,610,1819,0,727,9,1152
POINT (-80.71264013499967 38.66551020200046),1992,West Virginia,1806451,55,10,3483,177,3428,55,2970,458,44,11,0,0,1205,573,310,421,493,1873,61,635
POINT (-89.81637074199966 44.39319117400049),1992,Wisconsin,5025398,72,28,6682,3566,6406,276,5754,652,243,30,3,0,4144,1858,882,812,344,5199,0,327
POINT (-108.10983035299967 43.23554134300048),1992,Wyoming,466251,23,10,2024,1636,2021,3,1703,318,1,2,0,0,824,487,278,0,0,987,22,1015
POINT (-86.63186076199969 32.84057112200048),1993,Alabama,4214202,67,24,4176,4584,3971,205,3169,802,169,32,4,0,2638,1454,745,104,148,2910,65,949
POINT (-147.72205903599973 64.84507995700051),1993,Alaska,599432,30,6,1680,510,1661,19,1400,261,18,1,0,0,565,283,142,318,0,345,7,1010
POINT (-111.76381127699972 34.865970280000454),1993,Arizona,4065440,15,10,1943,1707,1840,103,1257,583,82,21,0,0,928,603,319,170,114,1150,172,337
POINT (-92.27449074299966 34.74865012400045),1993,Arkansas,2456303,75,20,2672,4628,2650,22,2367,283,20,2,0,0,1445,867,475,69,39,1623,48,893
POINT (-120.99999953799971 37.63864012300047),1993,California,31274928,58,50,17798,452,15533,2265,11698,3835,1368,556,335,6,9788,4878,2415,723,3498,12886,82,609
POINT (-106.13361092099967 38.843840757000464),1993,Colorado,3613734,64,26,7447,2043,7347,100,5976,1371,92,8,0,0,2703,1439,855,618,821,2612,162,3234
POINT (-72.64984095199964 41.56266102000046),1993,Connecticut,3309175,8,8,2072,848,1901,171,1447,454,98,57,16,0,1503,686,310,182,410,1192,0,288
POINT (-75.57774116799965 39.008830667000495),1993,Delaware,706378,3,3,784,311,658,126,489,169,81,42,3,0,589,373,134,12,164,579,0,29
POINT (-77.036871 38.907192),1993,District Of Columbia,595301,1,1,365,0,317,48,164,153,29,17,2,0,202,112,53,25,167,99,73,1
POINT (-81.92896053899966 28.932040377000476),1993,Florida,13927185,67,27,7057,2798,6844,213,5678,1166,188,25,0,0,3349,1627,916,362,476,5676,99,444
POINT (-83.62758034599966 32.83968109300048),1993,Georgia,6978240,159,15,3253,2222,2865,388,2039,826,279,88,21,0,2314,1349,598,44,207,2702,96,204
POINT (-157.85774940299973 21.304850435000446),1993,Hawaii,1172838,5,4,1123,337,1123,0,1115,8,0,0,0,0,210,131,97,52,19,959,20,73
POINT (-114.3637300419997 43.682630005000476),1993,Idaho,1108768,44,12,1493,2887,1492,1,1258,234,1,0,0,0,1025,682,384,293,0,327,21,852
POINT (-88.99771017799969 40.48501028300046),1993,Illinois,11809579,102,23,6710,1685,6596,114,5838,758,101,11,2,0,2954,1191,715,323,435,5329,0,623
POINT (-86.14996019399968 39.766910452000445),1993,Indiana,5739019,92,26,5891,3599,5598,293,4703,895,242,50,1,0,3050,1755,847,526,1449,3206,0,710
POINT (-93.81649055599968 42.46940091300047),1993,Iowa,2836972,99,9,1890,1395,1877,13,1704,173,13,0,0,0,803,414,253,161,0,911,0,818
POINT (-98.20078122699965 38.34774030000045),1993,Kansas,2556547,105,8,1347,1573,1344,3,1200,144,2,1,0,0,652,350,214,114,0,811,0,422
POINT (-84.77497104799966 37.645970271000465),1993,Kentucky,3812206,120,37,8744,4761,8349,395,6556,1793,336,55,4,0,5207,2695,1345,388,1599,5797,77,883
POINT (-92.44568007099969 31.31266064400046),1993,Louisiana,4316428,64,23,7347,1048,7036,311,5939,1097,252,53,6,0,3562,1598,789,96,1024,6074,0,153
POINT (-68.98503133599962 45.254228894000505),1993,Maine,1242302,16,15,3420,2055,3309,111,3008,301,74,35,2,0,2130,910,455,0,62,2629,28,701
POINT (-76.60926011099963 39.29058096400047),1993,Maryland,4971889,24,15,3204,2271,2650,554,1999,651,366,151,37,0,2358,1524,575,288,434,2096,0,386
POINT (-72.08269067499964 42.27687047000046),1993,Massachusetts,6060569,14,11,3277,738,3087,190,2398,689,136,44,10,0,2067,891,438,208,1208,1797,0,64
POINT (-84.71439026999968 44.6613195430005),1993,Michigan,9540114,83,32,6964,4716,6732,232,5944,788,179,48,5,0,4514,1921,987,803,866,4571,0,724
POINT (-94.79420050299967 46.35564873600049),1993,Minnesota,4555954,87,11,3353,662,3347,6,3146,201,6,0,0,0,913,460,307,1280,343,1353,117,260
POINT (-89.53803082499968 32.745510099000455),1993,Mississippi,2655100,82,16,3728,2112,3643,85,3015,628,81,4,0,0,1917,1000,569,97,0,3420,0,211
POINT (-92.56630005299968 38.635790776000476),1993,Missouri,5271175,115,13,3517,1228,3432,85,2908,524,74,9,2,0,1634,733,404,473,697,1955,0,392
POINT (-109.42442064499971 47.06652897200047),1993,Montana,844761,56,21,4019,3646,4018,1,3594,424,0,1,0,0,1539,837,445,893,178,189,19,2740
POINT (-99.36572062299967 41.6410409880005),1993,Nebraska,1625590,93,8,1174,1746,1173,1,1096,77,1,0,0,0,578,365,202,313,0,292,0,569
POINT (-117.07184056399967 39.493240390000494),1993,Nevada,1411215,17,8,1551,1369,1504,47,1081,423,41,5,1,0,753,453,277,122,219,788,130,292
POINT (-71.50036091999965 43.65595011300047),1993,New Hampshire,1129458,10,8,2034,886,1972,62,1805,167,46,16,0,0,1175,434,244,91,280,1478,0,185
POINT (-74.27369128799967 40.13057004800049),1993,New Jersey,7948915,21,17,5527,678,4920,607,3818,1102,380,198,29,0,2951,1690,631,980,1189,3139,53,166
POINT (-106.24058098499967 34.52088095200048),1993,New Mexico,1636453,33,15,3467,2008,3443,24,2959,484,21,3,0,0,1078,587,366,518,639,1466,9,835
POINT (-75.54397042699964 42.82700103200045),1993,New York,18374954,62,34,9640,2770,9257,383,7894,1363,293,85,5,0,4849,2074,1057,678,1055,7315,0,592
POINT (-79.15925046299964 35.466220975000454),1993,North Carolina,7042818,100,42,7322,8008,6434,888,4695,1739,721,162,5,0,5231,3471,1672,933,221,5079,0,1089
POINT (-100.11842104899966 47.47531977900047),1993,North Dakota,641216,53,9,1656,1629,1655,1,1635,20,1,0,0,0,489,280,177,149,310,862,0,335
POINT (-82.40426005599966 40.06021014100048),1993,Ohio,11101140,88,48,11179,6341,10364,815,8234,2130,642,166,7,0,6870,3843,1687,713,1058,6678,0,2730
POINT (-97.52107021399968 35.47203135600046),1993,Oklahoma,3252285,77,10,2368,1282,2335,33,2113,222,27,6,0,0,944,476,271,145,879,1038,0,306
POINT (-120.15503132599969 44.56744942400047),1993,Oregon,3060367,36,13,3050,1695,3039,11,2387,652,9,2,0,0,1385,756,431,1094,62,510,46,1338
POINT (-77.86070029399963 40.79373015200048),1993,Pennsylvania,12119724,67,29,10048,537,9149,899,7430,1719,674,208,15,2,5482,2695,1091,497,3295,5917,0,339
POINT (-71.52247031399963 41.70828019300046),1993,Rhode Island,1015112,5,2,545,185,523,22,447,76,15,6,1,0,374,142,78,77,182,269,0,17
POINT (-81.04537120699968 33.998821303000454),1993,South Carolina,3663314,46,23,7176,1219,6730,446,5138,1592,389,51,6,0,3538,1905,907,66,433,5740,0,937
POINT (-100.3735306369997 44.353130053000484),1993,South Dakota,722159,66,4,582,878,582,0,530,52,0,0,0,0,234,139,67,0,0,0,103,479
POINT (-85.77449091399967 35.68094058000048),1993,Tennessee,5137584,95,26,6315,3175,5757,558,4248,1509,449,106,3,0,3745,2118,1012,404,980,4401,42,488
POINT (-99.42677020599967 31.827240407000488),1993,Texas,18161612,254,27,6660,3195,6300,360,5396,904,243,93,24,0,3809,1678,806,307,700,4764,127,762
POINT (-111.58713063499971 39.360700171000474),1993,Utah,1898404,29,9,2164,1121,2110,54,1458,652,51,3,0,0,1001,538,348,160,572,815,99,518
POINT (-72.51764079099962 43.62538123900049),1993,Vermont,577748,14,5,1097,728,1078,19,984,94,14,5,0,0,497,246,132,75,446,380,46,150
POINT (-78.45789046299967 37.54268067400045),1993,Virginia,6509630,134,44,8343,7717,7480,863,5607,1873,695,158,10,0,5269,3335,1528,722,1716,4619,50,1236
POINT (-120.47001078999972 47.52227862900048),1993,Washington,5278842,39,19,4018,2917,3994,24,3267,727,18,4,0,2,2906,964,563,1759,0,984,104,1171
POINT (-80.71264013499967 38.66551020200046),1993,West Virginia,1817539,55,12,3620,760,3471,149,2915,556,123,26,0,0,1635,790,374,488,343,2113,55,621
POINT (-89.81637074199966 44.39319117400049),1993,Wisconsin,5084889,72,28,6723,3497,6596,127,6093,503,113,13,1,0,3674,1490,921,928,159,5381,0,255
POINT (-108.10983035299967 43.23554134300048),1993,Wyoming,473081,23,10,2030,1620,2029,1,1745,284,1,0,0,0,732,446,258,0,0,988,15,1027
POINT (-86.63186076199969 32.84057112200048),1994,Alabama,4260229,67,25,4841,4284,4702,139,3991,711,123,16,0,0,2597,1363,734,129,75,3622,48,967
POINT (-147.72205903599973 64.84507995700051),1994,Alaska,603308,30,5,1500,325,1488,12,1280,208,11,1,0,0,486,249,129,333,0,356,3,808
POINT (-111.76381127699972 34.865970280000454),1994,Arizona,4245089,15,10,1963,1687,1850,113,1172,678,107,6,0,0,921,608,355,166,106,1154,179,358
POINT (-92.27449074299966 34.74865012400045),1994,Arkansas,2494019,75,20,2665,4635,2610,55,2295,315,50,5,0,0,1417,903,494,47,65,1652,41,860
POINT (-120.99999953799971 37.63864012300047),1994,California,31484435,58,53,18432,913,15626,2806,11233,4393,1764,692,345,5,10167,5554,2649,591,3719,13336,85,701
POINT (-106.13361092099967 38.843840757000464),1994,Colorado,3724168,64,28,7524,2696,7429,95,5775,1654,91,4,0,0,2671,1565,895,567,941,2647,206,3163
POINT (-72.64984095199964 41.56266102000046),1994,Connecticut,3316121,8,8,2392,528,2153,239,1610,543,148,80,11,0,1700,800,340,141,595,1534,0,122
POINT (-75.57774116799965 39.008830667000495),1994,Delaware,717545,3,3,824,271,720,104,516,204,78,23,3,0,567,325,135,4,151,634,0,35
POINT (-77.036871 38.907192),1994,District Of Columbia,589239,1,1,365,0,313,52,149,164,43,7,2,0,212,113,54,23,184,92,62,4
POINT (-81.92896053899966 28.932040377000476),1994,Florida,14239444,67,27,7363,2492,7183,180,6345,838,161,19,0,0,3373,1433,834,410,336,6004,139,474
POINT (-83.62758034599966 32.83968109300048),1994,Georgia,7157165,159,17,3630,2575,3414,216,2666,748,170,41,5,0,2343,1209,609,60,273,2949,98,250
POINT (-157.85774940299973 21.304850435000446),1994,Hawaii,1187536,5,4,1097,363,1097,0,1091,6,0,0,0,0,194,136,103,28,4,985,6,74
POINT (-114.3637300419997 43.682630005000476),1994,Idaho,1145140,44,14,1674,3436,1672,2,1399,273,2,0,0,0,1085,721,381,166,25,348,197,938
POINT (-88.99771017799969 40.48501028300046),1994,Illinois,11912585,102,24,7134,1626,6840,294,5655,1185,242,48,4,0,3599,1597,811,282,483,5672,0,697
POINT (-86.14996019399968 39.766910452000445),1994,Indiana,5793526,92,22,5418,2612,4762,656,3773,989,468,171,17,0,3516,2082,844,695,838,3272,0,613
POINT (-93.81649055599968 42.46940091300047),1994,Iowa,2850746,99,8,1835,1085,1826,9,1619,207,7,2,0,0,666,380,219,97,0,812,0,926
POINT (-98.20078122699965 38.34774030000045),1994,Kansas,2580513,105,9,1326,1959,1314,12,1130,184,12,0,0,0,652,436,257,145,0,831,0,350
POINT (-84.77497104799966 37.645970271000465),1994,Kentucky,3849088,120,37,8933,4572,8262,671,6327,1935,500,164,7,0,5949,3093,1446,297,1624,6127,54,831
POINT (-92.44568007099969 31.31266064400046),1994,Louisiana,4347481,64,22,7322,708,7010,312,6000,1010,258,49,5,0,3635,1520,746,68,763,6277,0,214
POINT (-68.98503133599962 45.254228894000505),1994,Maine,1242662,16,15,3641,1834,3512,129,3142,370,101,26,2,0,2184,940,491,0,3,2956,39,643
POINT (-76.60926011099963 39.29058096400047),1994,Maryland,5023060,24,15,3235,2240,2838,397,2170,668,279,102,16,0,2230,1360,535,297,425,2151,0,362
POINT (-72.08269067499964 42.27687047000046),1994,Massachusetts,6095241,14,11,3367,648,3162,205,2398,764,145,56,4,0,1904,913,458,198,1265,1864,0,40
POINT (-84.71439026999968 44.6613195430005),1994,Michigan,9597737,83,30,6167,4783,5749,418,4746,1003,327,83,8,0,4277,2193,971,546,779,4266,0,576
POINT (-94.79420050299967 46.35564873600049),1994,Minnesota,4610355,87,13,3895,850,3879,16,3598,281,16,0,0,0,1127,545,357,1250,698,1590,22,335
POINT (-89.53803082499968 32.745510099000455),1994,Mississippi,2688992,82,15,3616,1859,3481,135,2853,628,117,18,0,0,1979,1002,515,43,0,3295,0,278
POINT (-92.56630005299968 38.635790776000476),1994,Missouri,5324497,115,15,3758,1717,3497,261,2771,726,196,56,9,0,1943,1061,479,546,835,1970,0,407
POINT (-109.42442064499971 47.06652897200047),1994,Montana,861306,56,22,4634,3396,4627,7,4167,460,6,1,0,0,1835,984,471,930,182,189,26,3307
POINT (-99.36572062299967 41.6410409880005),1994,Nebraska,1639041,93,11,1327,2688,1323,4,1216,107,4,0,0,0,826,497,274,275,0,335,0,717
POINT (-117.07184056399967 39.493240390000494),1994,Nevada,1499298,17,9,1787,1498,1717,70,1160,557,67,3,0,0,844,518,325,125,165,1096,86,315
POINT (-71.50036091999965 43.65595011300047),1994,New Hampshire,1142560,10,8,1991,929,1925,66,1697,228,52,13,1,0,1120,471,258,95,243,1462,0,191
POINT (-74.27369128799967 40.13057004800049),1994,New Jersey,8014306,21,17,5555,650,5041,514,3802,1239,406,103,5,0,2859,1537,659,838,1385,3082,63,187
POINT (-106.24058098499967 34.52088095200048),1994,New Mexico,1682398,33,17,3662,2543,3609,53,3048,561,48,3,1,1,1413,686,419,560,577,1384,111,1030
POINT (-75.54397042699964 42.82700103200045),1994,New York,18459470,62,34,9827,2583,9385,442,7794,1591,364,70,8,0,4773,2251,1116,368,1352,7626,0,481
POINT (-79.15925046299964 35.466220975000454),1994,North Carolina,7187398,100,46,8800,7990,8257,543,6393,1864,451,88,4,0,5557,3160,1576,1054,213,6204,22,1307
POINT (-100.11842104899966 47.47531977900047),1994,North Dakota,644804,53,10,1574,2076,1573,1,1538,35,1,0,0,0,570,332,196,86,275,854,0,359
POINT (-82.40426005599966 40.06021014100048),1994,Ohio,11152454,88,48,11165,6355,10100,1065,7924,2176,838,218,9,0,7012,4132,1740,693,881,7088,0,2503
POINT (-97.52107021399968 35.47203135600046),1994,Oklahoma,3280940,77,10,2330,1320,2219,111,1824,395,98,12,1,0,1066,594,307,84,675,1314,0,257
POINT (-120.15503132599969 44.56744942400047),1994,Oregon,3121264,36,13,3067,1678,3052,15,2551,501,13,2,0,0,1360,718,412,1190,41,545,46,1245
POINT (-77.86070029399963 40.79373015200048),1994,Pennsylvania,12166050,67,29,9931,654,9133,798,7063,2070,632,150,15,1,5285,2553,1151,556,3824,5216,0,335
POINT (-71.52247031399963 41.70828019300046),1994,Rhode Island,1015960,5,2,572,158,523,49,431,92,38,8,3,0,428,186,80,54,168,313,0,37
POINT (-81.04537120699968 33.998821303000454),1994,South Carolina,3705397,46,22,6905,1125,6708,197,5525,1183,164,33,0,0,3200,1481,794,48,454,5246,21,1136
POINT (-100.3735306369997 44.353130053000484),1994,South Dakota,730790,66,4,586,874,586,0,493,93,0,0,0,0,253,179,94,0,0,0,105,481
POINT (-85.77449091399967 35.68094058000048),1994,Tennessee,5231438,95,27,6904,2951,6379,525,4697,1682,428,94,3,0,4138,2250,1069,279,1057,5029,20,519
POINT (-99.42677020599967 31.827240407000488),1994,Texas,18564062,254,26,6827,2663,6342,485,5119,1223,315,146,24,0,3951,1934,866,200,746,4935,100,846
POINT (-111.58713063499971 39.360700171000474),1994,Utah,1960446,29,9,2322,963,2230,92,1468,762,81,11,0,0,948,581,326,167,626,831,107,591
POINT (-72.51764079099962 43.62538123900049),1994,Vermont,583836,14,5,998,827,980,18,853,127,17,1,0,0,460,260,136,49,346,368,55,180
POINT (-78.45789046299967 37.54268067400045),1994,Virginia,6593139,134,45,8569,7856,8026,543,6205,1821,479,61,3,0,4959,2958,1453,732,1973,4539,67,1258
POINT (-120.47001078999972 47.52227862900048),1994,Washington,5375161,39,19,4287,2648,4265,22,3702,563,16,1,5,0,2012,893,537,1816,0,1309,152,1010
POINT (-80.71264013499967 38.66551020200046),1994,West Virginia,1820421,55,12,3271,1109,3079,192,2456,623,150,36,6,0,1816,900,394,397,191,1928,53,702
POINT (-89.81637074199966 44.39319117400049),1994,Wisconsin,5133678,72,30,6557,4393,6345,212,5651,694,154,48,10,0,4496,1859,1047,710,217,5376,0,254
POINT (-108.10983035299967 43.23554134300048),1994,Wyoming,480283,23,12,2451,1929,2418,33,1879,539,22,5,1,5,1709,606,328,0,0,1011,11,1429
